1,1,0.01639344262295082,RandomCounterOfferNegotiationParty@10,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: 5 stars])
18,2,0.29508196721311475,RandomParty@11,(Offer  bid:Bid[Location: Antalya, Duration: 2 weeks, Hotel Quality: Hostel])
19,1,0.3114754098360656,RandomCounterOfferNegotiationParty@10,(Offer  bid:Bid[Location: Milan, Duration: 1 week, Hotel Quality: 3 stars])
19,2,0.3114754098360656,RandomParty@11,(Offer  bid:Bid[Location: Milan, Duration: 1 week, Hotel Quality: 3 stars])
20,1,0.32786885245901637,RandomCounterOfferNegotiationParty@10,(Offer  bid:Bid[Location: Barcelona, Duration: 1 week, Hotel Quality: 5 stars])
20,2,0.32786885245901637,RandomParty@11,(Offer  bid:Bid[Location: Barcelona, Duration: 1 week, Hotel Quality: 5 stars])
21,1,0.3442622950819672,RandomCounterOfferNegotiationParty@10,(Offer  bid:Bid[Location: Barcelona, Duration: 1 week, Hotel Quality: Hostel])
21,2,0.3442622950819672,RandomParty@11,(Offer  bid:Bid[Location: Barcelona, Duration: 1 week, Hotel Quality: Hostel])
22,1,0.36065573770491804,RandomCounterOfferNegotiationParty@10,(Offer  bid:Bid[Location: Antalya, Duration: 2 weeks, Hotel Quality: 5 stars])
22,2,0.36065573770491804,RandomParty@11,(Offer  bid:Bid[Location: Antalya, Duration: 2 weeks, Hotel Quality: 5 stars])
23,1,0.3770491803278688,RandomCounterOfferNegotiationParty@10,(Offer  bid:Bid[Location: Antalya, Duration: 1 week, Hotel Quality: 5 stars])
23,2,0.3770491803278688,RandomParty@11,(Offer  bid:Bid[Location: Antalya, Duration: 1 week, Hotel Quality: 5 stars])
24,1,0.39344262295081966,RandomCounterOfferNegotiationParty@10,(Offer  bid:Bid[Location: Milan, Duration: 1 week, Hotel Quality: 3 stars])
24,2,0.39344262295081966,RandomParty@11,(Offer  bid:Bid[Location: Milan, Duration: 1 week, Hotel Quality: 3 stars])
25,1,0.4098360655737705,RandomCounterOfferNegotiationParty@10,(Offer  bid:Bid[Location: Barcelona, Duration: 1 week, Hotel Quality: Hostel])
25,2,0.4098360655737705,RandomParty@11,(Offer  bid:Bid[Location: Barcelona, Duration: 1 week, Hotel Quality: Hostel])
26,1,0.4262295081967213,RandomCounterOfferNegotiationParty@10,(Offer  bid:Bid[Location: Antalya, Duration: 1 week, Hotel Quality: Hostel])
26,2,0.4262295081967213,RandomParty@11,(Offer  bid:Bid[Location: Antalya, Duration: 1 week, Hotel Quality: Hostel])
27,1,0.4426229508196721,RandomCounterOfferNegotiationParty@10,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: 5 stars])
27,2,0.4426229508196721,RandomParty@11,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: 5 stars])
28,1,0.45901639344262296,RandomCounterOfferNegotiationParty@10,(Offer  bid:Bid[Location: Antalya, Duration: 1 week, Hotel Quality: 3 stars])
28,2,0.45901639344262296,RandomParty@11,(Offer  bid:Bid[Location: Antalya, Duration: 1 week, Hotel Quality: 3 stars])
29,1,0.47540983606557374,RandomCounterOfferNegotiationParty@10,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: Hostel])
29,2,0.47540983606557374,RandomParty@11,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: Hostel])
30,1,0.4918032786885246,RandomCounterOfferNegotiationParty@10,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: 3 stars])
30,2,0.4918032786885246,RandomParty@11,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: 3 stars])
31,1,0.5081967213114754,RandomCounterOfferNegotiationParty@10,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: 5 stars])
31,2,0.5081967213114754,RandomParty@11,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: 5 stars])
32,1,0.5245901639344263,RandomCounterOfferNegotiationParty@10,(Offer  bid:Bid[Location: Milan, Duration: 1 week, Hotel Quality: Hostel])
32,2,0.5245901639344263,RandomParty@11,(Offer  bid:Bid[Location: Milan, Duration: 1 week, Hotel Quality: Hostel])
33,1,0.5409836065573771,RandomCounterOfferNegotiationParty@10,(Offer  bid:Bid[Location: Barcelona, Duration: 1 week, Hotel Quality: Hostel])
33,2,0.5409836065573771,RandomParty@11,(Offer  bid:Bid[Location: Barcelona, Duration: 1 week, Hotel Quality: Hostel])
34,1,0.5573770491803278,RandomCounterOfferNegotiationParty@10,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: 5 stars])
34,2,0.5573770491803278,RandomParty@11,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: 5 stars])
35,1,0.5737704918032787,RandomCounterOfferNegotiationParty@10,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: 5 stars])
35,2,0.5737704918032787,RandomParty@11,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: 5 stars])
36,1,0.5901639344262295,RandomCounterOfferNegotiationParty@10,(Offer  bid:Bid[Location: Antalya, Duration: 1 week, Hotel Quality: Hostel])
36,2,0.5901639344262295,RandomParty@11,(Offer  bid:Bid[Location: Antalya, Duration: 1 week, Hotel Quality: Hostel])
37,1,0.6065573770491803,RandomCounterOfferNegotiationParty@10,(Offer  bid:Bid[Location: Antalya, Duration: 2 weeks, Hotel Quality: Hostel])
37,2,0.6065573770491803,RandomParty@11,(Offer  bid:Bid[Location: Antalya, Duration: 2 weeks, Hotel Quality: Hostel])
38,1,0.6229508196721312,RandomCounterOfferNegotiationParty@10,(Offer  bid:Bid[Location: Barcelona, Duration: 1 week, Hotel Quality: 5 stars])
38,2,0.6229508196721312,RandomParty@11,(Offer  bid:Bid[Location: Barcelona, Duration: 1 week, Hotel Quality: 5 stars])
39,1,0.639344262295082,RandomCounterOfferNegotiationParty@10,(Offer  bid:Bid[Location: Milan, Duration: 1 week, Hotel Quality: 3 stars])
39,2,0.639344262295082,RandomParty@11,(Offer  bid:Bid[Location: Milan, Duration: 1 week, Hotel Quality: 3 stars])
40,1,0.6557377049180327,RandomCounterOfferNegotiationParty@10,(Offer  bid:Bid[Location: Antalya, Duration: 1 week, Hotel Quality: 3 stars])
40,2,0.6557377049180327,RandomParty@11,(Offer  bid:Bid[Location: Antalya, Duration: 1 week, Hotel Quality: 3 stars])
41,1,0.6721311475409836,RandomCounterOfferNegotiationParty@10,(Offer  bid:Bid[Location: Barcelona, Duration: 1 week, Hotel Quality: Hostel])
41,2,0.6721311475409836,RandomParty@11,(Offer  bid:Bid[Location: Barcelona, Duration: 1 week, Hotel Quality: Hostel])
42,1,0.6885245901639344,RandomCounterOfferNegotiationParty@10,(Offer  bid:Bid[Location: Antalya, Duration: 1 week, Hotel Quality: 3 stars])
42,2,0.6885245901639344,RandomParty@11,(Offer  bid:Bid[Location: Antalya, Duration: 1 week, Hotel Quality: 3 stars])
43,1,0.7049180327868853,RandomCounterOfferNegotiationParty@10,(Offer  bid:Bid[Location: Barcelona, Duration: 1 week, Hotel Quality: 3 stars])
43,2,0.7049180327868853,RandomParty@11,(Offer  bid:Bid[Location: Barcelona, Duration: 1 week, Hotel Quality: 3 stars])
44,1,0.7213114754098361,RandomCounterOfferNegotiationParty@10,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: 3 stars])
44,2,0.7213114754098361,RandomParty@11,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: 3 stars])
45,1,0.7377049180327869,RandomCounterOfferNegotiationParty@10,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: Hostel])
45,2,0.7377049180327869,RandomParty@11,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: Hostel])
46,1,0.7540983606557377,RandomCounterOfferNegotiationParty@10,(Offer  bid:Bid[Location: Antalya, Duration: 1 week, Hotel Quality: 5 stars])
46,2,0.7540983606557377,RandomParty@11,(Offer  bid:Bid[Location: Antalya, Duration: 1 week, Hotel Quality: 5 stars])
47,1,0.7704918032786885,RandomCounterOfferNegotiationParty@10,(Offer  bid:Bid[Location: Barcelona, Duration: 1 week, Hotel Quality: Hostel])
47,2,0.7704918032786885,RandomParty@11,(Offer  bid:Bid[Location: Barcelona, Duration: 1 week, Hotel Quality: Hostel])
48,1,0.7868852459016393,RandomCounterOfferNegotiationParty@10,(Offer  bid:Bid[Location: Barcelona, Duration: 1 week, Hotel Quality: Hostel])
48,2,0.7868852459016393,RandomParty@11,(Offer  bid:Bid[Location: Barcelona, Duration: 1 week, Hotel Quality: Hostel])
49,1,0.8032786885245902,RandomCounterOfferNegotiationParty@10,(Offer  bid:Bid[Location: Antalya, Duration: 2 weeks, Hotel Quality: 5 stars])
49,2,0.8032786885245902,RandomParty@11,(Offer  bid:Bid[Location: Antalya, Duration: 2 weeks, Hotel Quality: 5 stars])
50,1,0.819672131147541,RandomCounterOfferNegotiationParty@10,(Offer  bid:Bid[Location: Barcelona, Duration: 1 week, Hotel Quality: 3 stars])
50,2,0.819672131147541,RandomParty@11,(Offer  bid:Bid[Location: Barcelona, Duration: 1 week, Hotel Quality: 3 stars])
51,1,0.8360655737704918,RandomCounterOfferNegotiationParty@10,(Offer  bid:Bid[Location: Antalya, Duration: 1 week, Hotel Quality: Hostel])
51,2,0.8360655737704918,RandomParty@11,(Offer  bid:Bid[Location: Antalya, Duration: 1 week, Hotel Quality: Hostel])
52,1,0.8524590163934426,RandomCounterOfferNegotiationParty@10,(Offer  bid:Bid[Location: Milan, Duration: 1 week, Hotel Quality: 3 stars])
52,2,0.8524590163934426,RandomParty@11,(Offer  bid:Bid[Location: Milan, Duration: 1 week, Hotel Quality: 3 stars])
53,1,0.8688524590163934,RandomCounterOfferNegotiationParty@10,(Offer  bid:Bid[Location: Antalya, Duration: 1 week, Hotel Quality: 3 stars])
53,2,0.8688524590163934,RandomParty@11,(Offer  bid:Bid[Location: Antalya, Duration: 1 week, Hotel Quality: 3 stars])
54,1,0.8852459016393442,RandomCounterOfferNegotiationParty@10,(Offer  bid:Bid[Location: Barcelona, Duration: 1 week, Hotel Quality: Hostel])
54,2,0.8852459016393442,RandomParty@11,(Offer  bid:Bid[Location: Barcelona, Duration: 1 week, Hotel Quality: Hostel])
55,1,0.9016393442622951,RandomCounterOfferNegotiationParty@10,(Accept  bid:Bid[Location: Barcelona, Duration: 1 week, Hotel Quality: Hostel])
agreement,Bid[Location: Barcelona, Duration: 1 week, Hotel Quality: Hostel],0.8599675093635697,0.29082080707151403
