1,1,0.01639344262295082,RandomCounterOfferNegotiationParty@8,(Offer  bid:Bid[Location: Antalya, Duration: 2 weeks, Hotel Quality: Hostel])
16,1,0.26229508196721313,RandomCounterOfferNegotiationParty@8,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: Hostel])
16,2,0.26229508196721313,BoulwareNegotiationParty@9,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: 5 stars])
17,1,0.2786885245901639,RandomCounterOfferNegotiationParty@8,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: Hostel])
17,2,0.2786885245901639,BoulwareNegotiationParty@9,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: 5 stars])
18,1,0.29508196721311475,RandomCounterOfferNegotiationParty@8,(Offer  bid:Bid[Location: Milan, Duration: 1 week, Hotel Quality: Hostel])
18,2,0.29508196721311475,BoulwareNegotiationParty@9,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: 5 stars])
19,1,0.3114754098360656,RandomCounterOfferNegotiationParty@8,(Offer  bid:Bid[Location: Milan, Duration: 1 week, Hotel Quality: 5 stars])
19,2,0.3114754098360656,BoulwareNegotiationParty@9,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: 5 stars])
20,1,0.32786885245901637,RandomCounterOfferNegotiationParty@8,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: 3 stars])
20,2,0.32786885245901637,BoulwareNegotiationParty@9,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: 5 stars])
21,1,0.3442622950819672,RandomCounterOfferNegotiationParty@8,(Offer  bid:Bid[Location: Barcelona, Duration: 1 week, Hotel Quality: Hostel])
21,2,0.3442622950819672,BoulwareNegotiationParty@9,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: 5 stars])
22,1,0.36065573770491804,RandomCounterOfferNegotiationParty@8,(Offer  bid:Bid[Location: Antalya, Duration: 2 weeks, Hotel Quality: 3 stars])
22,2,0.36065573770491804,BoulwareNegotiationParty@9,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: 5 stars])
23,1,0.3770491803278688,RandomCounterOfferNegotiationParty@8,(Offer  bid:Bid[Location: Antalya, Duration: 1 week, Hotel Quality: 5 stars])
23,2,0.3770491803278688,BoulwareNegotiationParty@9,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: 5 stars])
24,1,0.39344262295081966,RandomCounterOfferNegotiationParty@8,(Offer  bid:Bid[Location: Antalya, Duration: 2 weeks, Hotel Quality: Hostel])
24,2,0.39344262295081966,BoulwareNegotiationParty@9,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: 5 stars])
25,1,0.4098360655737705,RandomCounterOfferNegotiationParty@8,(Offer  bid:Bid[Location: Antalya, Duration: 2 weeks, Hotel Quality: Hostel])
25,2,0.4098360655737705,BoulwareNegotiationParty@9,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: 5 stars])
26,1,0.4262295081967213,RandomCounterOfferNegotiationParty@8,(Offer  bid:Bid[Location: Antalya, Duration: 2 weeks, Hotel Quality: 3 stars])
26,2,0.4262295081967213,BoulwareNegotiationParty@9,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: 5 stars])
27,1,0.4426229508196721,RandomCounterOfferNegotiationParty@8,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: 5 stars])
27,2,0.4426229508196721,BoulwareNegotiationParty@9,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: 5 stars])
28,1,0.45901639344262296,RandomCounterOfferNegotiationParty@8,(Offer  bid:Bid[Location: Antalya, Duration: 1 week, Hotel Quality: 5 stars])
28,2,0.45901639344262296,BoulwareNegotiationParty@9,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: 5 stars])
29,1,0.47540983606557374,RandomCounterOfferNegotiationParty@8,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: 3 stars])
29,2,0.47540983606557374,BoulwareNegotiationParty@9,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: 5 stars])
30,1,0.4918032786885246,RandomCounterOfferNegotiationParty@8,(Offer  bid:Bid[Location: Antalya, Duration: 2 weeks, Hotel Quality: 5 stars])
30,2,0.4918032786885246,BoulwareNegotiationParty@9,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: 5 stars])
31,1,0.5081967213114754,RandomCounterOfferNegotiationParty@8,(Offer  bid:Bid[Location: Barcelona, Duration: 1 week, Hotel Quality: Hostel])
31,2,0.5081967213114754,BoulwareNegotiationParty@9,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: 5 stars])
32,1,0.5245901639344263,RandomCounterOfferNegotiationParty@8,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: Hostel])
32,2,0.5245901639344263,BoulwareNegotiationParty@9,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: 5 stars])
33,1,0.5409836065573771,RandomCounterOfferNegotiationParty@8,(Offer  bid:Bid[Location: Antalya, Duration: 1 week, Hotel Quality: Hostel])
33,2,0.5409836065573771,BoulwareNegotiationParty@9,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: Hostel])
34,1,0.5573770491803278,RandomCounterOfferNegotiationParty@8,(Offer  bid:Bid[Location: Barcelona, Duration: 1 week, Hotel Quality: 5 stars])
34,2,0.5573770491803278,BoulwareNegotiationParty@9,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: Hostel])
35,1,0.5737704918032787,RandomCounterOfferNegotiationParty@8,(Offer  bid:Bid[Location: Milan, Duration: 1 week, Hotel Quality: Hostel])
35,2,0.5737704918032787,BoulwareNegotiationParty@9,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: Hostel])
36,1,0.5901639344262295,RandomCounterOfferNegotiationParty@8,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: 3 stars])
36,2,0.5901639344262295,BoulwareNegotiationParty@9,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: Hostel])
37,1,0.6065573770491803,RandomCounterOfferNegotiationParty@8,(Offer  bid:Bid[Location: Barcelona, Duration: 1 week, Hotel Quality: Hostel])
37,2,0.6065573770491803,BoulwareNegotiationParty@9,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: 3 stars])
38,1,0.6229508196721312,RandomCounterOfferNegotiationParty@8,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: 5 stars])
38,2,0.6229508196721312,BoulwareNegotiationParty@9,(Accept  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: 5 stars])
agreement,Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: 5 stars],0.3902915574954751,1.0
