1,1,0.01639344262295082,SMAC_Agent@0,(Offer  bid:Bid[Venue: Museum, Time of arrival: Afternoon, Day of the week: Sunday, Duration: One week, Transportation: Public transport, Souvenirs: Tulips])
10,2,0.16393442622950818,boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_BS-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-negotiator.boaframework.opponentmodel.IAMhagglerBayesianModel_b_u-negotiator.boaframework.omstrategy.BestBid_t@1,(Offer  bid:Bid[Venue: Shopping, Time of arrival: Evening, Day of the week: Saturday, Duration: One week, Transportation: Car, Souvenirs: Waterpipe])
11,1,0.18032786885245902,SMAC_Agent@0,(Offer  bid:Bid[Venue: Museum, Time of arrival: Afternoon, Day of the week: Sunday, Duration: One night, Transportation: Public transport, Souvenirs: None])
11,2,0.18032786885245902,boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_BS-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-negotiator.boaframework.opponentmodel.IAMhagglerBayesianModel_b_u-negotiator.boaframework.omstrategy.BestBid_t@1,(Offer  bid:Bid[Venue: Shopping, Time of arrival: Evening, Day of the week: Saturday, Duration: One week, Transportation: Car, Souvenirs: Waterpipe])
12,1,0.19672131147540983,SMAC_Agent@0,(Offer  bid:Bid[Venue: Museum, Time of arrival: Afternoon, Day of the week: Sunday, Duration: One day, Transportation: Public transport, Souvenirs: None])
12,2,0.19672131147540983,boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_BS-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-negotiator.boaframework.opponentmodel.IAMhagglerBayesianModel_b_u-negotiator.boaframework.omstrategy.BestBid_t@1,(Offer  bid:Bid[Venue: Shopping, Time of arrival: Evening, Day of the week: Saturday, Duration: One week, Transportation: Car, Souvenirs: Waterpipe])
13,1,0.21311475409836064,SMAC_Agent@0,(Offer  bid:Bid[Venue: Museum, Time of arrival: Afternoon, Day of the week: Tuesday, Duration: One day, Transportation: Public transport, Souvenirs: Tulips])
13,2,0.21311475409836064,boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_BS-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-negotiator.boaframework.opponentmodel.IAMhagglerBayesianModel_b_u-negotiator.boaframework.omstrategy.BestBid_t@1,(Offer  bid:Bid[Venue: Shopping, Time of arrival: Evening, Day of the week: Saturday, Duration: One week, Transportation: Car, Souvenirs: Waterpipe])
14,1,0.22950819672131148,SMAC_Agent@0,(Offer  bid:Bid[Venue: Museum, Time of arrival: Afternoon, Day of the week: Tuesday, Duration: One day, Transportation: Public transport, Souvenirs: Tulips])
14,2,0.22950819672131148,boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_BS-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-negotiator.boaframework.opponentmodel.IAMhagglerBayesianModel_b_u-negotiator.boaframework.omstrategy.BestBid_t@1,(Offer  bid:Bid[Venue: Shopping, Time of arrival: Evening, Day of the week: Saturday, Duration: One week, Transportation: Car, Souvenirs: Waterpipe])
15,1,0.2459016393442623,SMAC_Agent@0,(Offer  bid:Bid[Venue: Museum, Time of arrival: Afternoon, Day of the week: Sunday, Duration: One week, Transportation: Public transport, Souvenirs: Tulips])
15,2,0.2459016393442623,boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_BS-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-negotiator.boaframework.opponentmodel.IAMhagglerBayesianModel_b_u-negotiator.boaframework.omstrategy.BestBid_t@1,(Offer  bid:Bid[Venue: Shopping, Time of arrival: Evening, Day of the week: Saturday, Duration: One week, Transportation: Car, Souvenirs: Waterpipe])
16,1,0.26229508196721313,SMAC_Agent@0,(Offer  bid:Bid[Venue: Museum, Time of arrival: Afternoon, Day of the week: Thursday, Duration: One night, Transportation: Public transport, Souvenirs: Tulips])
16,2,0.26229508196721313,boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_BS-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-negotiator.boaframework.opponentmodel.IAMhagglerBayesianModel_b_u-negotiator.boaframework.omstrategy.BestBid_t@1,(Offer  bid:Bid[Venue: Shopping, Time of arrival: Evening, Day of the week: Saturday, Duration: One week, Transportation: Car, Souvenirs: Waterpipe])
17,1,0.2786885245901639,SMAC_Agent@0,(Offer  bid:Bid[Venue: Museum, Time of arrival: Afternoon, Day of the week: Sunday, Duration: One day, Transportation: Public transport, Souvenirs: None])
17,2,0.2786885245901639,boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_BS-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-negotiator.boaframework.opponentmodel.IAMhagglerBayesianModel_b_u-negotiator.boaframework.omstrategy.BestBid_t@1,(Offer  bid:Bid[Venue: Shopping, Time of arrival: Evening, Day of the week: Saturday, Duration: One week, Transportation: Car, Souvenirs: Waterpipe])
18,1,0.29508196721311475,SMAC_Agent@0,(Offer  bid:Bid[Venue: Museum, Time of arrival: Afternoon, Day of the week: Sunday, Duration: One day, Transportation: Public transport, Souvenirs: None])
18,2,0.29508196721311475,boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_BS-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-negotiator.boaframework.opponentmodel.IAMhagglerBayesianModel_b_u-negotiator.boaframework.omstrategy.BestBid_t@1,(Offer  bid:Bid[Venue: Shopping, Time of arrival: Evening, Day of the week: Saturday, Duration: One week, Transportation: Car, Souvenirs: Waterpipe])
19,1,0.3114754098360656,SMAC_Agent@0,(Offer  bid:Bid[Venue: Museum, Time of arrival: Afternoon, Day of the week: Thursday, Duration: One day, Transportation: Public transport, Souvenirs: Tulips])
19,2,0.3114754098360656,boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_BS-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-negotiator.boaframework.opponentmodel.IAMhagglerBayesianModel_b_u-negotiator.boaframework.omstrategy.BestBid_t@1,(Offer  bid:Bid[Venue: Shopping, Time of arrival: Evening, Day of the week: Saturday, Duration: One week, Transportation: Car, Souvenirs: Waterpipe])
20,1,0.32786885245901637,SMAC_Agent@0,(Offer  bid:Bid[Venue: Museum, Time of arrival: Afternoon, Day of the week: Sunday, Duration: One day, Transportation: Public transport, Souvenirs: None])
20,2,0.32786885245901637,boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_BS-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-negotiator.boaframework.opponentmodel.IAMhagglerBayesianModel_b_u-negotiator.boaframework.omstrategy.BestBid_t@1,(Offer  bid:Bid[Venue: Shopping, Time of arrival: Evening, Day of the week: Saturday, Duration: One week, Transportation: Car, Souvenirs: Waterpipe])
21,1,0.3442622950819672,SMAC_Agent@0,(Offer  bid:Bid[Venue: Museum, Time of arrival: Afternoon, Day of the week: Sunday, Duration: One day, Transportation: Public transport, Souvenirs: Tulips])
21,2,0.3442622950819672,boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_BS-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-negotiator.boaframework.opponentmodel.IAMhagglerBayesianModel_b_u-negotiator.boaframework.omstrategy.BestBid_t@1,(Offer  bid:Bid[Venue: Shopping, Time of arrival: Evening, Day of the week: Saturday, Duration: One week, Transportation: Car, Souvenirs: Waterpipe])
22,1,0.36065573770491804,SMAC_Agent@0,(Offer  bid:Bid[Venue: Museum, Time of arrival: Afternoon, Day of the week: Wednesday, Duration: One day, Transportation: Public transport, Souvenirs: None])
22,2,0.36065573770491804,boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_BS-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-negotiator.boaframework.opponentmodel.IAMhagglerBayesianModel_b_u-negotiator.boaframework.omstrategy.BestBid_t@1,(Offer  bid:Bid[Venue: Shopping, Time of arrival: Evening, Day of the week: Saturday, Duration: One week, Transportation: Car, Souvenirs: Waterpipe])
23,1,0.3770491803278688,SMAC_Agent@0,(Offer  bid:Bid[Venue: Museum, Time of arrival: Afternoon, Day of the week: Monday, Duration: One night, Transportation: Public transport, Souvenirs: Tulips])
23,2,0.3770491803278688,boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_BS-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-negotiator.boaframework.opponentmodel.IAMhagglerBayesianModel_b_u-negotiator.boaframework.omstrategy.BestBid_t@1,(Offer  bid:Bid[Venue: Shopping, Time of arrival: Evening, Day of the week: Thursday, Duration: One week, Transportation: Car, Souvenirs: Tulips])
24,1,0.39344262295081966,SMAC_Agent@0,(Offer  bid:Bid[Venue: Museum, Time of arrival: Afternoon, Day of the week: Tuesday, Duration: One night, Transportation: Public transport, Souvenirs: Tulips])
24,2,0.39344262295081966,boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_BS-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-negotiator.boaframework.opponentmodel.IAMhagglerBayesianModel_b_u-negotiator.boaframework.omstrategy.BestBid_t@1,(Offer  bid:Bid[Venue: Diner, Time of arrival: Evening, Day of the week: Saturday, Duration: One week, Transportation: Combination, Souvenirs: Tulips])
25,1,0.4098360655737705,SMAC_Agent@0,(Offer  bid:Bid[Venue: Museum, Time of arrival: Afternoon, Day of the week: Tuesday, Duration: One day, Transportation: Public transport, Souvenirs: None])
25,2,0.4098360655737705,boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_BS-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-negotiator.boaframework.opponentmodel.IAMhagglerBayesianModel_b_u-negotiator.boaframework.omstrategy.BestBid_t@1,(Offer  bid:Bid[Venue: Shopping, Time of arrival: Afternoon, Day of the week: Saturday, Duration: One week, Transportation: Car, Souvenirs: Tulips])
26,1,0.4262295081967213,SMAC_Agent@0,(Offer  bid:Bid[Venue: Dancing, Time of arrival: Afternoon, Day of the week: Monday, Duration: One day, Transportation: Public transport, Souvenirs: Tulips])
26,2,0.4262295081967213,boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_BS-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-negotiator.boaframework.opponentmodel.IAMhagglerBayesianModel_b_u-negotiator.boaframework.omstrategy.BestBid_t@1,(Offer  bid:Bid[Venue: Diner, Time of arrival: Evening, Day of the week: Sunday, Duration: One week, Transportation: Combination, Souvenirs: Waterpipe])
27,1,0.4426229508196721,SMAC_Agent@0,(Offer  bid:Bid[Venue: Museum, Time of arrival: Afternoon, Day of the week: Monday, Duration: One day, Transportation: Public transport, Souvenirs: Tulips])
