1,1,0.01639344262295082,RandomBidderExample20@0,(Offer  bid:Bid[Location: Antalya, Duration: 1 week, Hotel Quality: 3 stars])
21,2,0.3442622950819672,RandomBidderExample40@1,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: 5 stars])
22,1,0.36065573770491804,RandomBidderExample20@0,(Offer  bid:Bid[Location: Antalya, Duration: 2 weeks, Hotel Quality: Hostel])
22,2,0.36065573770491804,RandomBidderExample40@1,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: 5 stars])
23,1,0.3770491803278688,RandomBidderExample20@0,(Offer  bid:Bid[Location: Barcelona, Duration: 1 week, Hotel Quality: 5 stars])
23,2,0.3770491803278688,RandomBidderExample40@1,(Offer  bid:Bid[Location: Milan, Duration: 1 week, Hotel Quality: 3 stars])
24,1,0.39344262295081966,RandomBidderExample20@0,(Offer  bid:Bid[Location: Barcelona, Duration: 1 week, Hotel Quality: 5 stars])
24,2,0.39344262295081966,RandomBidderExample40@1,(Offer  bid:Bid[Location: Antalya, Duration: 2 weeks, Hotel Quality: Hostel])
25,1,0.4098360655737705,RandomBidderExample20@0,(Offer  bid:Bid[Location: Antalya, Duration: 2 weeks, Hotel Quality: 3 stars])
25,2,0.4098360655737705,RandomBidderExample40@1,(Offer  bid:Bid[Location: Milan, Duration: 1 week, Hotel Quality: 5 stars])
26,1,0.4262295081967213,RandomBidderExample20@0,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: Hostel])
26,2,0.4262295081967213,RandomBidderExample40@1,(Offer  bid:Bid[Location: Antalya, Duration: 2 weeks, Hotel Quality: Hostel])
27,1,0.4426229508196721,RandomBidderExample20@0,(Offer  bid:Bid[Location: Antalya, Duration: 2 weeks, Hotel Quality: 5 stars])
27,2,0.4426229508196721,RandomBidderExample40@1,(Offer  bid:Bid[Location: Milan, Duration: 1 week, Hotel Quality: Hostel])
28,1,0.45901639344262296,RandomBidderExample20@0,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: Hostel])
28,2,0.45901639344262296,RandomBidderExample40@1,(Offer  bid:Bid[Location: Milan, Duration: 1 week, Hotel Quality: 5 stars])
29,1,0.47540983606557374,RandomBidderExample20@0,(Offer  bid:Bid[Location: Barcelona, Duration: 1 week, Hotel Quality: 3 stars])
29,2,0.47540983606557374,RandomBidderExample40@1,(Offer  bid:Bid[Location: Antalya, Duration: 2 weeks, Hotel Quality: Hostel])
30,1,0.4918032786885246,RandomBidderExample20@0,(Offer  bid:Bid[Location: Antalya, Duration: 1 week, Hotel Quality: 5 stars])
30,2,0.4918032786885246,RandomBidderExample40@1,(Offer  bid:Bid[Location: Milan, Duration: 1 week, Hotel Quality: 3 stars])
31,1,0.5081967213114754,RandomBidderExample20@0,(Offer  bid:Bid[Location: Barcelona, Duration: 1 week, Hotel Quality: Hostel])
31,2,0.5081967213114754,RandomBidderExample40@1,(Offer  bid:Bid[Location: Milan, Duration: 1 week, Hotel Quality: 3 stars])
32,1,0.5245901639344263,RandomBidderExample20@0,(Offer  bid:Bid[Location: Milan, Duration: 1 week, Hotel Quality: 3 stars])
32,2,0.5245901639344263,RandomBidderExample40@1,(Offer  bid:Bid[Location: Milan, Duration: 1 week, Hotel Quality: 3 stars])
33,1,0.5409836065573771,RandomBidderExample20@0,(Offer  bid:Bid[Location: Antalya, Duration: 1 week, Hotel Quality: 5 stars])
33,2,0.5409836065573771,RandomBidderExample40@1,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: Hostel])
34,1,0.5573770491803278,RandomBidderExample20@0,(Offer  bid:Bid[Location: Milan, Duration: 1 week, Hotel Quality: 3 stars])
34,2,0.5573770491803278,RandomBidderExample40@1,(Offer  bid:Bid[Location: Antalya, Duration: 1 week, Hotel Quality: 5 stars])
35,1,0.5737704918032787,RandomBidderExample20@0,(Offer  bid:Bid[Location: Milan, Duration: 1 week, Hotel Quality: Hostel])
35,2,0.5737704918032787,RandomBidderExample40@1,(Offer  bid:Bid[Location: Antalya, Duration: 1 week, Hotel Quality: 5 stars])
36,1,0.5901639344262295,RandomBidderExample20@0,(Offer  bid:Bid[Location: Antalya, Duration: 1 week, Hotel Quality: Hostel])
36,2,0.5901639344262295,RandomBidderExample40@1,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: 5 stars])
37,1,0.6065573770491803,RandomBidderExample20@0,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: Hostel])
37,2,0.6065573770491803,RandomBidderExample40@1,(Offer  bid:Bid[Location: Milan, Duration: 1 week, Hotel Quality: 5 stars])
38,1,0.6229508196721312,RandomBidderExample20@0,(Offer  bid:Bid[Location: Antalya, Duration: 2 weeks, Hotel Quality: Hostel])
38,2,0.6229508196721312,RandomBidderExample40@1,(Offer  bid:Bid[Location: Milan, Duration: 1 week, Hotel Quality: 3 stars])
39,1,0.639344262295082,RandomBidderExample20@0,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: 3 stars])
39,2,0.639344262295082,RandomBidderExample40@1,(Offer  bid:Bid[Location: Milan, Duration: 1 week, Hotel Quality: Hostel])
40,1,0.6557377049180327,RandomBidderExample20@0,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: Hostel])
40,2,0.6557377049180327,RandomBidderExample40@1,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: 3 stars])
41,1,0.6721311475409836,RandomBidderExample20@0,(Offer  bid:Bid[Location: Antalya, Duration: 2 weeks, Hotel Quality: 3 stars])
41,2,0.6721311475409836,RandomBidderExample40@1,(Offer  bid:Bid[Location: Antalya, Duration: 2 weeks, Hotel Quality: Hostel])
42,1,0.6885245901639344,RandomBidderExample20@0,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: 3 stars])
42,2,0.6885245901639344,RandomBidderExample40@1,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: 3 stars])
43,1,0.7049180327868853,RandomBidderExample20@0,(Offer  bid:Bid[Location: Milan, Duration: 1 week, Hotel Quality: 3 stars])
43,2,0.7049180327868853,RandomBidderExample40@1,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: 3 stars])
44,1,0.7213114754098361,RandomBidderExample20@0,(Offer  bid:Bid[Location: Milan, Duration: 1 week, Hotel Quality: 5 stars])
44,2,0.7213114754098361,RandomBidderExample40@1,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: 5 stars])
45,1,0.7377049180327869,RandomBidderExample20@0,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: 5 stars])
45,2,0.7377049180327869,RandomBidderExample40@1,(Offer  bid:Bid[Location: Antalya, Duration: 2 weeks, Hotel Quality: Hostel])
46,1,0.7540983606557377,RandomBidderExample20@0,(Offer  bid:Bid[Location: Antalya, Duration: 2 weeks, Hotel Quality: 3 stars])
46,2,0.7540983606557377,RandomBidderExample40@1,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: 3 stars])
47,1,0.7704918032786885,RandomBidderExample20@0,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: Hostel])
47,2,0.7704918032786885,RandomBidderExample40@1,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: 3 stars])
48,1,0.7868852459016393,RandomBidderExample20@0,(Offer  bid:Bid[Location: Antalya, Duration: 2 weeks, Hotel Quality: 3 stars])
48,2,0.7868852459016393,RandomBidderExample40@1,(Offer  bid:Bid[Location: Milan, Duration: 1 week, Hotel Quality: 5 stars])
49,1,0.8032786885245902,RandomBidderExample20@0,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: Hostel])
49,2,0.8032786885245902,RandomBidderExample40@1,(Offer  bid:Bid[Location: Milan, Duration: 1 week, Hotel Quality: 5 stars])
50,1,0.819672131147541,RandomBidderExample20@0,(Offer  bid:Bid[Location: Milan, Duration: 1 week, Hotel Quality: 5 stars])
50,2,0.819672131147541,RandomBidderExample40@1,(Offer  bid:Bid[Location: Antalya, Duration: 1 week, Hotel Quality: 5 stars])
51,1,0.8360655737704918,RandomBidderExample20@0,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: 3 stars])
51,2,0.8360655737704918,RandomBidderExample40@1,(Offer  bid:Bid[Location: Milan, Duration: 1 week, Hotel Quality: 5 stars])
52,1,0.8524590163934426,RandomBidderExample20@0,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: 5 stars])
52,2,0.8524590163934426,RandomBidderExample40@1,(Offer  bid:Bid[Location: Milan, Duration: 1 week, Hotel Quality: Hostel])
53,1,0.8688524590163934,RandomBidderExample20@0,(Offer  bid:Bid[Location: Antalya, Duration: 2 weeks, Hotel Quality: Hostel])
53,2,0.8688524590163934,RandomBidderExample40@1,(Offer  bid:Bid[Location: Antalya, Duration: 1 week, Hotel Quality: 5 stars])
54,1,0.8852459016393442,RandomBidderExample20@0,(Offer  bid:Bid[Location: Antalya, Duration: 2 weeks, Hotel Quality: 5 stars])
54,2,0.8852459016393442,RandomBidderExample40@1,(Offer  bid:Bid[Location: Antalya, Duration: 2 weeks, Hotel Quality: 3 stars])
55,1,0.9016393442622951,RandomBidderExample20@0,(Accept  bid:Bid[Location: Antalya, Duration: 2 weeks, Hotel Quality: 3 stars])
agreement,Bid[Location: Antalya, Duration: 2 weeks, Hotel Quality: 3 stars],0.4595189984378305,0.582462317140178
