1,1,0.01639344262295082,BoulwareNegotiationParty@11,(Offer  bid:Bid[price: 300000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011])
10,2,0.16393442622950818,UIAgentExtended@12,(Offer  bid:Bid[price: 150000yen, DepartureAirPort: Kansai, DepartureDate: Sep2_2011])
11,1,0.18032786885245902,BoulwareNegotiationParty@11,(Offer  bid:Bid[price: 300000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011])
11,2,0.18032786885245902,UIAgentExtended@12,(Offer  bid:Bid[price: 150000yen, DepartureAirPort: Narita, DepartureDate: Sep2_2011])
12,1,0.19672131147540983,BoulwareNegotiationParty@11,(Offer  bid:Bid[price: 300000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011])
12,2,0.19672131147540983,UIAgentExtended@12,(Offer  bid:Bid[price: 150000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011])
13,1,0.21311475409836064,BoulwareNegotiationParty@11,(Offer  bid:Bid[price: 300000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011])
13,2,0.21311475409836064,UIAgentExtended@12,(Offer  bid:Bid[price: 150000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011])
14,1,0.22950819672131148,BoulwareNegotiationParty@11,(Offer  bid:Bid[price: 300000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011])
14,2,0.22950819672131148,UIAgentExtended@12,(Offer  bid:Bid[price: 150000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011])
15,1,0.2459016393442623,BoulwareNegotiationParty@11,(Offer  bid:Bid[price: 300000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011])
15,2,0.2459016393442623,UIAgentExtended@12,(Offer  bid:Bid[price: 150000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011])
16,1,0.26229508196721313,BoulwareNegotiationParty@11,(Offer  bid:Bid[price: 300000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011])
16,2,0.26229508196721313,UIAgentExtended@12,(Offer  bid:Bid[price: 150000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011])
17,1,0.2786885245901639,BoulwareNegotiationParty@11,(Offer  bid:Bid[price: 300000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011])
17,2,0.2786885245901639,UIAgentExtended@12,(Offer  bid:Bid[price: 150000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011])
18,1,0.29508196721311475,BoulwareNegotiationParty@11,(Offer  bid:Bid[price: 300000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011])
18,2,0.29508196721311475,UIAgentExtended@12,(Offer  bid:Bid[price: 150000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011])
19,1,0.3114754098360656,BoulwareNegotiationParty@11,(Offer  bid:Bid[price: 300000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011])
19,2,0.3114754098360656,UIAgentExtended@12,(Offer  bid:Bid[price: 150000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011])
20,1,0.32786885245901637,BoulwareNegotiationParty@11,(Offer  bid:Bid[price: 300000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011])
20,2,0.32786885245901637,UIAgentExtended@12,(Offer  bid:Bid[price: 150000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011])
21,1,0.3442622950819672,BoulwareNegotiationParty@11,(Offer  bid:Bid[price: 300000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011])
21,2,0.3442622950819672,UIAgentExtended@12,(Offer  bid:Bid[price: 150000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011])
22,1,0.36065573770491804,BoulwareNegotiationParty@11,(Offer  bid:Bid[price: 300000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011])
22,2,0.36065573770491804,UIAgentExtended@12,(Offer  bid:Bid[price: 150000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011])
23,1,0.3770491803278688,BoulwareNegotiationParty@11,(Offer  bid:Bid[price: 300000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011])
23,2,0.3770491803278688,UIAgentExtended@12,(Offer  bid:Bid[price: 150000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011])
24,1,0.39344262295081966,BoulwareNegotiationParty@11,(Offer  bid:Bid[price: 300000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011])
24,2,0.39344262295081966,UIAgentExtended@12,(Offer  bid:Bid[price: 150000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011])
25,1,0.4098360655737705,BoulwareNegotiationParty@11,(Offer  bid:Bid[price: 300000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011])
25,2,0.4098360655737705,UIAgentExtended@12,(Offer  bid:Bid[price: 150000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011])
26,1,0.4262295081967213,BoulwareNegotiationParty@11,(Offer  bid:Bid[price: 300000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011])
26,2,0.4262295081967213,UIAgentExtended@12,(Offer  bid:Bid[price: 150000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011])
27,1,0.4426229508196721,BoulwareNegotiationParty@11,(Offer  bid:Bid[price: 300000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011])
27,2,0.4426229508196721,UIAgentExtended@12,(Offer  bid:Bid[price: 150000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011])
28,1,0.45901639344262296,BoulwareNegotiationParty@11,(Offer  bid:Bid[price: 300000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011])
28,2,0.45901639344262296,UIAgentExtended@12,(Offer  bid:Bid[price: 150000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011])
29,1,0.47540983606557374,BoulwareNegotiationParty@11,(Offer  bid:Bid[price: 300000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011])
29,2,0.47540983606557374,UIAgentExtended@12,(Offer  bid:Bid[price: 150000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011])
30,1,0.4918032786885246,BoulwareNegotiationParty@11,(Offer  bid:Bid[price: 300000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011])
30,2,0.4918032786885246,UIAgentExtended@12,(Offer  bid:Bid[price: 150000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011])
31,1,0.5081967213114754,BoulwareNegotiationParty@11,(Offer  bid:Bid[price: 300000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011])
31,2,0.5081967213114754,UIAgentExtended@12,(Offer  bid:Bid[price: 150000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011])
32,1,0.5245901639344263,BoulwareNegotiationParty@11,(Offer  bid:Bid[price: 300000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011])
32,2,0.5245901639344263,UIAgentExtended@12,(Offer  bid:Bid[price: 150000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011])
33,1,0.5409836065573771,BoulwareNegotiationParty@11,(Offer  bid:Bid[price: 300000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011])
33,2,0.5409836065573771,UIAgentExtended@12,(Offer  bid:Bid[price: 150000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011])
34,1,0.5573770491803278,BoulwareNegotiationParty@11,(Offer  bid:Bid[price: 250000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011])
34,2,0.5573770491803278,UIAgentExtended@12,(Offer  bid:Bid[price: 150000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011])
35,1,0.5737704918032787,BoulwareNegotiationParty@11,(Offer  bid:Bid[price: 250000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011])
35,2,0.5737704918032787,UIAgentExtended@12,(Offer  bid:Bid[price: 150000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011])
36,1,0.5901639344262295,BoulwareNegotiationParty@11,(Offer  bid:Bid[price: 250000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011])
36,2,0.5901639344262295,UIAgentExtended@12,(Offer  bid:Bid[price: 150000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011])
37,1,0.6065573770491803,BoulwareNegotiationParty@11,(Offer  bid:Bid[price: 250000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011])
37,2,0.6065573770491803,UIAgentExtended@12,(Offer  bid:Bid[price: 150000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011])
38,1,0.6229508196721312,BoulwareNegotiationParty@11,(Offer  bid:Bid[price: 250000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011])
38,2,0.6229508196721312,UIAgentExtended@12,(Offer  bid:Bid[price: 150000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011])
39,1,0.639344262295082,BoulwareNegotiationParty@11,(Offer  bid:Bid[price: 300000yen, DepartureAirPort: Narita, DepartureDate: Sep4_2011])
39,2,0.639344262295082,UIAgentExtended@12,(Offer  bid:Bid[price: 150000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011])
40,1,0.6557377049180327,BoulwareNegotiationParty@11,(Offer  bid:Bid[price: 300000yen, DepartureAirPort: Narita, DepartureDate: Sep4_2011])
40,2,0.6557377049180327,UIAgentExtended@12,(Offer  bid:Bid[price: 150000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011])
41,1,0.6721311475409836,BoulwareNegotiationParty@11,(Offer  bid:Bid[price: 300000yen, DepartureAirPort: CentrAir, DepartureDate: Sep3_2011])
41,2,0.6721311475409836,UIAgentExtended@12,(Offer  bid:Bid[price: 150000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011])
42,1,0.6885245901639344,BoulwareNegotiationParty@11,(Offer  bid:Bid[price: 300000yen, DepartureAirPort: CentrAir, DepartureDate: Sep3_2011])
42,2,0.6885245901639344,UIAgentExtended@12,(Offer  bid:Bid[price: 150000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011])
43,1,0.7049180327868853,BoulwareNegotiationParty@11,(Offer  bid:Bid[price: 200000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011])
43,2,0.7049180327868853,UIAgentExtended@12,(Offer  bid:Bid[price: 150000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011])
44,1,0.7213114754098361,BoulwareNegotiationParty@11,(Offer  bid:Bid[price: 200000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011])
44,2,0.7213114754098361,UIAgentExtended@12,(Offer  bid:Bid[price: 150000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011])
45,1,0.7377049180327869,BoulwareNegotiationParty@11,(Offer  bid:Bid[price: 300000yen, DepartureAirPort: Narita, DepartureDate: Sep2_2011])
45,2,0.7377049180327869,UIAgentExtended@12,(Offer  bid:Bid[price: 150000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011])
46,1,0.7540983606557377,BoulwareNegotiationParty@11,(Offer  bid:Bid[price: 300000yen, DepartureAirPort: CentrAir, DepartureDate: Sep4_2011])
46,2,0.7540983606557377,UIAgentExtended@12,(Offer  bid:Bid[price: 150000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011])
47,1,0.7704918032786885,BoulwareNegotiationParty@11,(Offer  bid:Bid[price: 300000yen, DepartureAirPort: Kansai, DepartureDate: Sep3_2011])
47,2,0.7704918032786885,UIAgentExtended@12,(Offer  bid:Bid[price: 150000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011])
48,1,0.7868852459016393,BoulwareNegotiationParty@11,(Accept  bid:Bid[price: 150000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011])
agreement,Bid[price: 150000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011],0.7375,0.8999999999999999
